PollID,Time,Pollster,Yes,No,DK,lYes-1,lNo-1,lDK-1,lYes-2,lNo-2,lDK-2,lYes-3,lNo-3,lDK-3,lYes-p,lNo-p,lDK-p,IndyrefWeight,PastScotElectWeight,PastBritElectWeight,DataCollect,Franchise
41,646,14,0.47,0.41,0.1,0.41,0.48,0.12,0.44,0.49,0.06,0.43,0.46,0.11,0.43,0.46,0.11,1,1,0,1,2
42,647,10,0.47,0.44,0.08,0.47,0.41,0.1,0.41,0.48,0.12,0.44,0.49,0.06,0.44,0.49,0.06,1,1,0,2,2
43,649,14,0.46,0.4,0.13,0.47,0.44,0.08,0.47,0.41,0.1,0.41,0.48,0.12,0.47,0.41,0.1,1,1,0,2,2
44,676,16,0.4,0.45,0.14,0.46,0.4,0.13,0.47,0.44,0.08,0.47,0.41,0.1,0.41,0.48,0.12,1,0,1,2,1
45,713,16,0.4,0.46,0.13,0.4,0.45,0.14,0.46,0.4,0.13,0.47,0.44,0.08,0.4,0.45,0.14,1,0,1,2,1
46,717,15,0.41,0.47,0.12,0.4,0.46,0.13,0.4,0.45,0.14,0.46,0.4,0.13,0.47,0.42,0.11,0,1,1,3,2
47,723,14,0.42,0.48,0.09,0.41,0.47,0.12,0.4,0.46,0.13,0.4,0.45,0.14,0.46,0.4,0.13,1,1,0,2,2
48,724,6,0.45,0.5,0.05,0.42,0.48,0.09,0.41,0.47,0.12,0.4,0.46,0.13,0.49,0.45,0.05,0,0,0,1,2
49,728,10,0.44,0.5,0.07,0.45,0.5,0.05,0.42,0.48,0.09,0.41,0.47,0.12,0.47,0.44,0.08,1,1,0,2,2
50,747,1,0.39,0.47,0.15,0.44,0.5,0.07,0.45,0.5,0.05,0.42,0.48,0.09,NA,NA,NA,1,0,1,2,2
51,803,16,0.38,0.49,0.13,0.39,0.47,0.15,0.44,0.5,0.07,0.45,0.5,0.05,0.4,0.46,0.13,1,0,1,2,2
52,817,1,0.4,0.47,0.09,0.38,0.49,0.13,0.39,0.47,0.15,0.44,0.5,0.07,0.39,0.47,0.15,1,0,1,2,2
53,861,10,0.43,0.51,0.07,0.4,0.47,0.09,0.38,0.49,0.13,0.39,0.47,0.15,0.44,0.5,0.07,1,1,0,2,2
54,866,1,0.43,0.45,0.1,0.43,0.51,0.07,0.4,0.47,0.09,0.38,0.49,0.13,0.4,0.47,0.09,1,0,1,2,2
55,879,10,0.44,0.51,0.06,0.43,0.45,0.1,0.43,0.51,0.07,0.4,0.47,0.09,0.43,0.51,0.07,1,1,0,2,2
56,893,1,0.41,0.44,0.13,0.44,0.51,0.06,0.43,0.45,0.1,0.43,0.51,0.07,0.43,0.45,0.1,1,0,1,2,2
57,900,6,0.47,0.46,0.06,0.41,0.44,0.13,0.44,0.51,0.06,0.43,0.45,0.1,0.45,0.5,0.05,0,0,0,1,2
58,907,14,0.42,0.48,0.09,0.47,0.46,0.06,0.41,0.44,0.13,0.44,0.51,0.06,0.42,0.48,0.09,1,1,0,2,2
59,908,16,0.37,0.48,0.16,0.42,0.48,0.09,0.47,0.46,0.06,0.41,0.44,0.13,0.38,0.49,0.13,1,0,1,2,1
60,911,10,0.42,0.53,0.05,0.37,0.48,0.16,0.42,0.48,0.09,0.47,0.46,0.06,0.44,0.51,0.06,1,1,0,2,2
61,936,15,0.34,0.53,0.13,0.42,0.53,0.05,0.37,0.48,0.16,0.42,0.48,0.09,0.41,0.47,0.12,0,1,1,3,2
62,936,1,0.43,0.45,0.12,0.34,0.53,0.13,0.42,0.53,0.05,0.37,0.48,0.16,0.41,0.44,0.13,1,0,1,2,2
63,946,14,0.43,0.48,0.09,0.43,0.45,0.12,0.34,0.53,0.13,0.42,0.53,0.05,0.42,0.48,0.09,1,1,0,2,1
64,946,10,0.43,0.52,0.05,0.43,0.48,0.09,0.43,0.45,0.12,0.34,0.53,0.13,0.42,0.53,0.05,1,1,0,2,2
65,952,16,0.4,0.49,0.12,0.43,0.52,0.05,0.43,0.48,0.09,0.43,0.45,0.12,0.37,0.48,0.16,1,0,1,2,1
66,973,16,0.39,0.49,0.12,0.4,0.49,0.12,0.43,0.52,0.05,0.43,0.48,0.09,0.4,0.49,0.12,1,0,1,2,1
67,980,6,0.45,0.51,0.04,0.39,0.49,0.12,0.4,0.49,0.12,0.43,0.52,0.05,0.47,0.46,0.06,0,0,0,1,1
68,986,10,0.42,0.52,0.06,0.45,0.51,0.04,0.39,0.49,0.12,0.4,0.49,0.12,0.43,0.52,0.05,1,1,0,2,2
69,988,14,0.42,0.5,0.08,0.42,0.52,0.06,0.45,0.51,0.04,0.39,0.49,0.12,0.43,0.48,0.09,1,0,1,2,2
70,991,16,0.38,0.5,0.11,0.42,0.5,0.08,0.42,0.52,0.06,0.45,0.51,0.04,0.39,0.49,0.12,1,0,1,2,1
71,993,10,0.41,0.53,0.06,0.38,0.5,0.11,0.42,0.5,0.08,0.42,0.52,0.06,0.42,0.52,0.06,1,1,0,2,2
72,993,14,0.36,0.56,0.07,0.41,0.53,0.06,0.38,0.5,0.11,0.42,0.5,0.08,0.42,0.5,0.08,1,0,1,1,2
73,999,14,0.39,0.53,0.08,0.36,0.56,0.07,0.41,0.53,0.06,0.38,0.5,0.11,0.36,0.56,0.07,1,0,1,2,2
