PollID,Time,Pollster,Yes,No,DK,lYes-1,lNo-1,lDK-1,lYes-2,lNo-2,lDK-2,lYes-3,lNo-3,lDK-3,lYes-p,lNo-p,lDK-p,IndyrefWeight,PastScotElectWeight,PastBritElectWeight,DataCollect,Franchise
179,2652,9,0.44,0.44,0.12,0.52,0.43,0.04,0.4,0.46,0.13,0.45,0.47,0.08,0.44,0.43,0.13,0,0,1,2,1
180,2679,12,0.46,0.46,0.08,0.44,0.44,0.12,0.52,0.43,0.04,0.4,0.46,0.13,0.45,0.48,0.07,1,1,0,2,2
181,2696,10,0.46,0.47,0.07,0.46,0.46,0.08,0.44,0.44,0.12,0.52,0.43,0.04,0.45,0.47,0.08,1,0,1,2,2
182,2720,12,0.45,0.46,0.08,0.46,0.47,0.07,0.46,0.46,0.08,0.44,0.44,0.12,0.46,0.46,0.08,1,1,0,2,2
183,2736,12,0.44,0.49,0.07,0.45,0.46,0.08,0.46,0.47,0.07,0.46,0.46,0.08,0.45,0.46,0.08,1,1,0,2,2
184,2748,14,0.42,0.47,0.11,0.44,0.49,0.07,0.45,0.46,0.08,0.46,0.47,0.07,0.43,0.47,0.1,0,0,0,2,2
185,2751,1,0.43,0.49,0.08,0.42,0.47,0.11,0.44,0.49,0.07,0.45,0.46,0.08,0.47,0.47,0.07,1,0,1,2,1
186,2751,16,0.39,0.44,0.17,0.43,0.49,0.08,0.42,0.47,0.11,0.44,0.49,0.07,0.4,0.46,0.13,1,0,1,2,2
187,2780,10,0.45,0.47,0.08,0.39,0.44,0.17,0.43,0.49,0.08,0.42,0.47,0.11,0.46,0.47,0.07,1,0,1,2,2
188,2784,12,0.45,0.47,0.07,0.45,0.47,0.08,0.39,0.44,0.17,0.43,0.49,0.08,0.44,0.49,0.07,1,1,0,2,2
189,2804,16,0.38,0.46,0.13,0.45,0.47,0.07,0.45,0.47,0.08,0.39,0.44,0.17,0.39,0.44,0.17,1,0,1,2,2
190,2810,6,0.45,0.46,0.08,0.38,0.46,0.13,0.45,0.47,0.07,0.45,0.47,0.08,0.52,0.43,0.04,0,0,0,1,2
191,2840,12,0.44,0.46,0.1,0.45,0.46,0.08,0.38,0.46,0.13,0.45,0.47,0.07,0.45,0.47,0.07,1,1,0,2,2
192,2843,10,0.48,0.47,0.05,0.44,0.46,0.1,0.45,0.46,0.08,0.38,0.46,0.13,0.45,0.47,0.08,1,0,1,2,2
193,2890,10,0.46,0.48,0.06,0.48,0.47,0.05,0.44,0.46,0.1,0.45,0.46,0.08,0.48,0.47,0.05,1,0,1,2,2
194,2920,2,0.42,0.47,0.11,0.46,0.48,0.06,0.48,0.47,0.05,0.44,0.46,0.1,NA,NA,NA,0,0,0,2,1
195,2938,12,0.45,0.46,0.08,0.42,0.47,0.11,0.46,0.48,0.06,0.48,0.47,0.05,0.44,0.46,0.1,1,1,0,2,2
196,2938,16,0.43,0.45,0.1,0.45,0.46,0.08,0.42,0.47,0.11,0.46,0.48,0.06,0.38,0.46,0.13,1,0,1,2,2
197,2941,10,0.47,0.47,0.06,0.43,0.45,0.1,0.45,0.46,0.08,0.42,0.47,0.11,0.46,0.48,0.06,1,0,1,2,2
198,2944,10,0.46,0.49,0.05,0.47,0.47,0.06,0.43,0.45,0.1,0.45,0.46,0.08,0.47,0.47,0.06,1,0,1,2,2
199,2990,16,0.46,0.45,0.09,0.46,0.49,0.05,0.47,0.47,0.06,0.43,0.45,0.1,0.43,0.45,0.1,1,0,1,2,2
200,2992,11,0.49,0.45,0.05,0.46,0.45,0.09,0.46,0.49,0.05,0.47,0.47,0.06,0.44,0.47,0.09,0,1,1,2,2
201,3000,6,0.53,0.42,0.04,0.49,0.45,0.05,0.46,0.45,0.09,0.46,0.49,0.05,0.45,0.46,0.08,0,0,0,1,2
202,3003,3,0.51,0.43,0.06,0.53,0.42,0.04,0.49,0.45,0.05,0.46,0.45,0.09,0.41,0.37,0.22,0,1,1,2,1
203,3004,16,0.47,0.43,0.08,0.51,0.43,0.06,0.53,0.42,0.04,0.49,0.45,0.05,0.46,0.45,0.09,1,0,1,2,2
204,3011,10,0.49,0.45,0.06,0.47,0.43,0.08,0.51,0.43,0.06,0.53,0.42,0.04,0.46,0.49,0.05,1,0,1,2,2
